recon_key,ar_count,bank_count,key_match,amount_match,currency_match,customer_match,date_match,duplicate_ar,duplicate_bank,final_status,exception_reason,action,output.ai_likely_cause,output.ai_priority,output.ai_recommended_action,output.ai_explanation,output.ai_confidence,ai_likely_cause,ai_priority,ai_recommended_action,ai_explanation,ai_confidence
2960570925,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH
1930411415,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH
1929769711,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,EXCEPTION,Customer discrepancy; Date discrepancy,For Investigation,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH
2960576462,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH
1991828985,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH
1928930475,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH
1929902956,2,1,TRUE,,,,,TRUE,FALSE,EXCEPTION,Duplicate AR Entry,For Investigation,Duplicate AR Entry,LOW,Verify the AR system and bank records for duplicate entries and remove the redundant posting.,"The transaction exists in both sources with matching amount, currency, and customer details, but the duplicate entry caused a reconciliation discrepancy. The dates are not the issue here, as the entries are identical except for being recorded twice.",HIGH,Duplicate AR Entry,LOW,Verify the AR system and bank records for duplicate entries and remove the redundant posting.,"The transaction exists in both sources with matching amount, currency, and customer details, but the duplicate entry caused a reconciliation discrepancy. The dates are not the issue here, as the entries are identical except for being recorded twice.",HIGH
1930467548,2,1,TRUE,,,,,TRUE,FALSE,EXCEPTION,Duplicate AR Entry,For Investigation,Duplicate AR Entry,LOW, Investigate the source systems to identify why the duplicate AR entry was created. Verify if the entry was posted twice or if there is a system error causing duplication. Remove or correct the duplicate entry to resolve the reconciliation issue.,"The transaction exists in both sources with matching amount, currency, and customer details, but the duplicate AR entry is causing a reconciliation conflict. The system detected two identical entries, leading to the exception.",HIGH,Duplicate AR Entry,LOW, Investigate the source systems to identify why the duplicate AR entry was created. Verify if the entry was posted twice or if there is a system error causing duplication. Remove or correct the duplicate entry to resolve the reconciliation issue.,"The transaction exists in both sources with matching amount, currency, and customer details, but the duplicate AR entry is causing a reconciliation conflict. The system detected two identical entries, leading to the exception.",HIGH
1929559748,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance. This date discrepancy suggests a timing difference between AR posting and bank settlement processes.",HIGH,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance. This date discrepancy suggests a timing difference between AR posting and bank settlement processes.",HIGH
1930049177,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction dates do not meet the configured reconciliation tolerance, resulting in a date discrepancy despite matching amounts, currency, and customer information.",HIGH,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction dates do not meet the configured reconciliation tolerance, resulting in a date discrepancy despite matching amounts, currency, and customer information.",HIGH
1930281379,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH
1929972526,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH
1928958124,1,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Currency discrepancy; Date discrepancy,For Investigation,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance. The currency discrepancy may indicate a mismatch in the transaction's currency code or exchange rate, while the date discrepancy suggests a timing difference between posting and settlement.",HIGH,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance. The currency discrepancy may indicate a mismatch in the transaction's currency code or exchange rate, while the date discrepancy suggests a timing difference between posting and settlement.",HIGH
1928730204,2,1,TRUE,,,,,TRUE,FALSE,EXCEPTION,Duplicate AR Entry,For Investigation,Duplicate AR Entry Detected,LOW,Identify and remove the duplicate AR entry from both systems to resolve the reconciliation conflict.,"The same AR entry exists in both the source systems, leading to a duplicate. This duplication causes the reconciliation failure despite matching amounts, currencies, and customer details.",HIGH,Duplicate AR Entry Detected,LOW,Identify and remove the duplicate AR entry from both systems to resolve the reconciliation conflict.,"The same AR entry exists in both the source systems, leading to a duplicate. This duplication causes the reconciliation failure despite matching amounts, currencies, and customer details.",HIGH
1930109209,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,EXCEPTION,Customer discrepancy; Date discrepancy,For Investigation,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH
1929613952,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance. This date discrepancy is likely due to differing timing of settlement or posting between systems.",HIGH,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance. This date discrepancy is likely due to differing timing of settlement or posting between systems.",HIGH
1930422267,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH,Possible settlement or posting timing difference,LOW,Compare the AR posting date with the bank settlement date and confirm whether the timing difference is expected.,"The transaction exists once in both sources and the amount, currency, and customer information agree, but the transaction dates do not meet the configured reconciliation tolerance.",HIGH
